authority_text,nrows,removed,added
"18 U.S.C. 4161 to 4166 (repealed Oct. 12, 1984, as to offenses committed on or after Nov. 1, 1987), 5006 to 5024 (repealed Oct. 12, 1984 as to conduct occurring after that date)",12,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
5676,12,"('usc', 7, '5676', None)","('other', None, None, None)"
FOIA Improvements Act of 2016,12,"('act_relative', None, None, None)","('other', None, None, None)"
sec 371 to 376 of the Public Health Service Act,12,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 5006-5024 (Repealed October 12, 1984 as to offenses committed after that date)",12,"('usc', 18, '1984', None)",""
sec. 13407 of the American Recovery and Reinvestment Act of 2009,12,"('act_relative', None, None, None)","('other', None, None, None)"
"sec. 621, Pub. L. 87-195, 75 Stat 445, (22 U.S.C. 2381) as amended, E.O. 12163, Sept 29, 1979, 44 FR 56673",12,"('usc', 22, '1979', None)",""
"31 USC 9701 Act of August 31, 1951, 65 Stat. 290",12,"('usc', 31, '1951', None)",""
"Div. D, title IV, sec. 416 of the Further Consolidated Appropriations Act 2020",12,"('act_relative', None, None, None)","('other', None, None, None)"
3813 and 3814,12,"('usc', 16, '3813', None) | ('usc', 16, '3814', None)","('other', None, None, None)"
secs 2104(e) and 2104(f) of the Social Security Act,12,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1613(a)(2)(A) of the Social Security Act,12,"('act_relative', None, None, None)","('other', None, None, None)"
CEA sec. 8(a)(5),12,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 751, 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 4161 to 4166, 5006 to 5024 (Repealed October 12, 1984 )",12,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 U.S.C. 5006-5024 (Repealed October 12, 1984 as to offenses committed after that date), 5039",12,"('usc', 18, '1984', None)",""
"18 USC 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",12,"('usc', 18, '1987', None)",""
Resource Conservation Recovery Act sec 3001,12,"('act_relative', None, None, None)","('other', None, None, None)"
CEA sec. 5,12,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 5006 to 5024 (Repealed October 12, 1984, as to offenses committed after that date.)",12,"('usc', 18, '1984', None)",""
"secs. 201(ff)(3)(B), 301(ll)(2), and 701(a) of the Federal Food, Drug, and Cosmetic Act",12,"('act_relative', None, None, None)","('other', None, None, None)"
