usc_title,edition_year,usc_section,rin,bucket
18,2003,5006,1120-AA77,4-genuine-era-mismatch
40,2003,333,1218-AB47,4-genuine-era-mismatch
40,2003,333,1218-AB67,4-genuine-era-mismatch
40,2003,333,1218-AB77,4-genuine-era-mismatch
40,2003,333,1218-AB89,4-genuine-era-mismatch
40,2003,333,1218-AC01,4-genuine-era-mismatch
40,2003,486,1291-AA34,4-genuine-era-mismatch
40,2003,486,1291-AA33,4-genuine-era-mismatch
16,1995,5801,0596-AA35,4-genuine-era-mismatch
50,1995,1710,0694-AB06,4-genuine-era-mismatch
50,1995,2401,0694-AA52,4-genuine-era-mismatch
50,1995,1710,0694-AA67,4-genuine-era-mismatch
50,1995,1710,0694-AA77,4-genuine-era-mismatch
50,1995,1710,0694-AB05,4-genuine-era-mismatch
50,1995,1710,0694-AB08,4-genuine-era-mismatch
50,1995,1710,0694-AB09,4-genuine-era-mismatch
50,1995,1710,0694-AB10,4-genuine-era-mismatch
50,1995,1710,0694-AB12,4-genuine-era-mismatch
50,1995,1710,0694-AB15,4-genuine-era-mismatch
50,1995,1710,0694-AB16,4-genuine-era-mismatch
50,1995,1710,0694-AB17,4-genuine-era-mismatch
50,1995,1710,0694-AB19,4-genuine-era-mismatch
50,1995,1710,0694-AB23,4-genuine-era-mismatch
50,1995,1710,0694-AB24,4-genuine-era-mismatch
50,1995,1710,0694-AB25,4-genuine-era-mismatch
50,1995,1710,0694-AB26,4-genuine-era-mismatch
50,1995,1710,0694-AB27,4-genuine-era-mismatch
10,1995,7450,0694-AB28,4-genuine-era-mismatch
50,1995,1710,0694-AB28,4-genuine-era-mismatch
50,1995,1710,0694-AB29,4-genuine-era-mismatch
50,1995,1710,0694-AB30,4-genuine-era-mismatch
50,1995,1710,0694-AB31,4-genuine-era-mismatch
50,1995,1710,0694-AB34,4-genuine-era-mismatch
