eo_number,signing_date,title,fr_citation,provenance,source_file
12782,1991-11-21,Amending Executive Order No. 12594,"56 FR 59847; November 25, 1991",nara-live,eo-1991.html
12783,1991-12-17,Extending the President's Council on Rural America,"56 FR 65977; December 19, 1991",nara-live,eo-1991.html
12784,1991-12-19,Delegation of authority regarding the naval petroleum and oil shale reserves,"56 FR 66339; December 23, 1991",nara-live,eo-1991.html
12785,1991-12-26,Extending the President's Education Policy Advisory Committee,"56 FR 67451; December 30, 1991",nara-live,eo-1991.html
12786,1991-12-26,Adjustments of certain rates of pay and allowances,"56 FR 67453; December 30, 1991",nara-live,eo-1991.html
12787,1991-12-31,The order of succession of officers to act as Secretary of Defense,"57 FR 517; January 7, 1992",nara-live,eo-1991.html
12788,1992-01-15,Defense Economic Adjustment Program,"57 FR 2213; January 21, 1992",nara-live,eo-1992.html
12789,1992-02-10,Delegation of reporting functions under the Immigration Reform and Control Act of 1986,"57 FR 5225; February 12, 1992",nara-live,eo-1992.html
12790,1992-03-03,Amending the Order Establishing the Southwest Asia Service Medal,"57 FR 8057; March 5, 1992",nara-live,eo-1992.html
12791,1992-03-09,Nuclear Cooperation With EURATOM,"57 FR 8717; March 11, 1992",nara-live,eo-1992.html
12792,1992-03-12,National Commission on America's Urban Families,"57 FR 9165; March 16, 1992",nara-live,eo-1992.html
12793,1992-03-20,Continuing the Presidential Service Certificate and the Presidential Service Badge,"57 FR 10281; March 25, 1992",nara-live,eo-1992.html
12794,1992-03-31,Establishing an emergency board to investigate disputes between certain railroads and their employees represented by the International Association of Machinists and Aerospace Workers,"57 FR 11417; April 2, 1992",nara-live,eo-1992.html
12795,1992-03-31,Establishing an emergency board to investigate a dispute between the Consolidated Rail Corporation and its employees represented by the Brotherhood of Maintenance of Way Employees,"57 FR 11421; April 2, 1992",nara-live,eo-1992.html
12796,1992-03-31,Establishing an emergency board to investigate disputes between the National Railroad Passenger Corporation and its employees represented by certain labor organizations,"57 FR 11423; April 2, 1992",nara-live,eo-1992.html
12797,1992-04-03,Review of increases in rates of basic pay for certain employees of the Department of Veterans Affairs and other agencies,"57 FR 11671; April 7, 1992",nara-live,eo-1992.html
12798,1992-04-06,Waiver under the Trade Act of 1974 with respect to Armenia,"57 FR 12175; April 8, 1992",nara-live,eo-1992.html
12799,1992-04-07,Navy and Marine Corps Reserve Officer Promotions,"57 FR 12401; April 9, 1992",nara-live,eo-1992.html
12800,1992-04-13,Notification of employee rights concerning payment of union dues or fees,"57 FR 12985; April 14, 1992",nara-live,eo-1992.html
12801,1992-04-15,"Barring overflight, takeoff, and landing of aircraft flying to or from Libya","57 FR 14319; April 17, 1992",nara-live,eo-1992.html
12802,1992-04-16,"Waiver Under the Trade Act of 1974 with respect to the Republic of Byelarus, the Republic of Kyrgyzstan, and the Russian Federation","57 FR 14321; April 20, 1992",nara-live,eo-1992.html
12803,1992-04-30,Infrastructure Privatization,"57 FR 19063; May 4, 1992",nara-live,eo-1992.html
12804,1992-05-01,"Providing for the restoration of law and order in the city and county of Los Angeles, and other districts of California","57 FR 19361; May 5, 1992",nara-live,eo-1992.html
12805,1992-05-11,Integrity and Efficiency in Federal Programs,"57 FR 20627; May 14, 1992",nara-live,eo-1992.html
12806,1992-05-19,Establishment of a Fetal Tissue Bank,"57 FR 21589; May 21, 1992",nara-live,eo-1992.html
12807,1992-05-24,Interdiction of illegal aliens,"57 FR 23133; June 1, 1992",nara-live,eo-1992.html
12808,1992-05-30,Blocking Yugoslav Government Property and Property of the Governments of Serbia and Montenegro,"57 FR 23299; June 2, 1992",nara-live,eo-1992.html
12809,1992-06-03,"Waiver Under the Trade Act of 1974 With Respect to Albania, Azerbaijan, Georgia, Kazakhstan, Moldova, Ukraine, and Uzbekistan","57 FR 23925; June 5, 1992",nara-live,eo-1992.html
12810,1992-06-05,Blocking property of and prohibiting transactions with the Federal Republic of Yugoslavia (Serbia and Montenegro),"57 FR 24347; June 9, 1992",nara-live,eo-1992.html
12811,1992-06-24,Waiver Under the Trade Act of 1974 With Respect to Tajikistan and Turkmenistan,"57 FR 28585; June 26, 1992",nara-live,eo-1992.html
12812,1992-07-22,Declassification and Release of Materials Pertaining to Prisoners of War and Missing in Action,"57 FR 32879; July 24, 1992",nara-live,eo-1992.html
12813,1992-08-04,President's Commission on Management of the Agency for International Development (AID) Programs,"57 FR 34851; August 7, 1992",nara-live,eo-1992.html
12814,1992-09-10,Additions to level IV of the Executive Schedule for members of the Chemical Safety and Hazard Investigation Board,"57 FR 42483; September 14, 1992",nara-live,eo-1992.html
12815,1992-09-30,Extending the President's Commission on Management of the Agency for International Development (AID) Programs,"57 FR 45709; October 5, 1992",nara-live,eo-1992.html
12816,1992-10-14,Management Improvement in the Federal Government,"57 FR 47562; October 19, 1992",nara-live,eo-1992.html
